Unique ID,Player,Runs_bat,BF,4s,6s,SR,Inns_bat,Opposition,Ground,Start Date,Overs,Mdns,Runs_bowl,Wkts,Econ,Inns_bowl
IND3,AR Patel,2,4,0,0,50,2,v Australia,Chennai,22-Mar-23,8,0,57,2,7.12,1
IND3,AR Patel,27,30,1,1,90,2,v Australia,Dubai (DICS),04-Mar-25,8,1,43,1,5.37,1
IND3,AR Patel,29,29,1,2,100,1,v Australia,Visakhapatnam,19-Mar-23,3,0,25,0,8.33,2
IND3,AR Patel,20,17,1,1,117.64,1,v Bangladesh,Chattogram,10-Dec-22,5,0,22,2,4.4,2
IND3,AR Patel,42,34,3,2,123.52,2,v Bangladesh,Colombo (RPS),15-Sep-23,9,0,47,1,5.22,1
IND3,AR Patel,8,12,1,0,66.66,2,v Bangladesh,Dubai (DICS),20-Feb-25,9,1,43,2,4.77,1
IND3,AR Patel,56,56,2,3,100,2,v Bangladesh,Mirpur,07-Dec-22,7,0,40,0,5.71,1
IND3,AR Patel,13,12,2,0,108.33,1,v England,Ahmedabad,12-Feb-25,6,1,22,2,3.47,2
IND3,AR Patel,41,43,4,0,95.34,2,v England,Cuttack,09-Feb-25,6,0,32,0,5.33,1
IND3,AR Patel,52,47,6,1,110.63,2,v England,Nagpur,06-Feb-25,7,0,38,1,5.42,1
IND3,AR Patel,42,61,3,1,68.85,1,v New Zealand,Dubai (DICS),02-Mar-25,10,0,32,1,3.2,2
IND3,AR Patel,29,40,1,1,72.5,2,v New Zealand,Dubai (DICS),09-Mar-25,8,0,29,0,3.62,1
IND3,AR Patel,3,4,0,0,75,2,v Pakistan,Dubai (DICS),23-Feb-25,10,0,49,1,4.9,1
IND3,AR Patel,7,23,0,0,30.43,1,v South Africa,Gqeberha,19-Dec-23,6,0,22,0,3.66,2
IND3,AR Patel,1,3,0,0,33.33,1,v South Africa,Paarl,21-Dec-23,10,0,48,1,4.8,2
IND3,AR Patel,26,36,0,1,72.22,1,v Sri Lanka,Colombo (RPS),12-Sep-23,5,0,29,0,5.8,2
IND3,AR Patel,33,57,2,1,57.89,2,v Sri Lanka,Colombo (RPS),02-Aug-24,10,0,33,2,3.3,1
IND3,AR Patel,44,44,4,2,100,2,v Sri Lanka,Colombo (RPS),04-Aug-24,9,0,38,1,4.22,1
IND3,AR Patel,2,7,0,0,28.57,2,v Sri Lanka,Colombo (RPS),07-Aug-24,10,1,41,1,4.1,1
IND3,AR Patel,21,21,1,1,100,2,v Sri Lanka,Eden Gardens,12-Jan-23,5,0,16,1,3.2,1
IND3,AR Patel,9,9,0,0,100,1,v Sri Lanka,Guwahati,10-Jan-23,10,0,58,0,5.8,2
IND3,AR Patel,1,8,0,0,12.5,1,v West Indies,Bridgetown,29-Jul-23,2,1,4,0,2,2
IND3,AR Patel,21,21,1,1,100,1,v West Indies,Port of Spain,22-Jul-22,7,0,43,0,6.14,2
IND3,AR Patel,64,35,3,5,182.85,2,v West Indies,Port of Spain,24-Jul-22,9,1,40,1,4.44,1
IND3,AR Patel,,,,,,1,v West Indies,Port of Spain,27-Jul-22,6,0,38,1,6.33,2
IND3,AR Patel,,,,,,2,v Zimbabwe,Harare,18-Aug-22,7,2,24,3,3.2,1
IND3,AR Patel,6,7,1,0,85.71,2,v Zimbabwe,Harare,20-Aug-22,7,1,20,1,2.85,1
IND3,AR Patel,1,4,0,0,25,1,v Zimbabwe,Harare,22-Aug-22,10,1,30,2,3,2
IND6,B Kumar,,,,,,2,v Australia,Adelaide,15-Jan-19,10,0,45,4,4.5,1
IND6,B Kumar,46,54,3,2,85.18,2,v Australia,Delhi,13-Mar-19,10,0,48,3,4.8,1
IND6,B Kumar,,,,,,2,v Australia,Melbourne,18-Jan-19,8,1,28,2,3.5,1
IND6,B Kumar,1,2,0,0,50,1,v Australia,Mohali,10-Mar-19,9,0,67,1,7.44,2
IND6,B Kumar,29,23,4,0,126.08,2,v Australia,Sydney,12-Jan-19,10,0,66,2,6.6,1
IND6,B Kumar,,,,,,1,v Australia,The Oval,09-Jun-19,10,0,50,3,5,2
IND6,B Kumar,2,3,0,0,66.66,1,v Bangladesh,Birmingham,02-Jul-19,9,0,51,1,5.66,2
