Unique ID,Player,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
IND14,Ishan Kishan,210,131,24,10,160.3,1,v Bangladesh,Chattogram,10-Dec-22
IND42,Shubman Gill,208,149,19,9,139.59,1,v New Zealand,Hyderabad,18-Jan-23
IND49,V Kohli,166,110,13,8,150.9,1,v Sri Lanka,Thiruvananthapuram,15-Jan-23
IND35,RG Sharma,162,137,20,4,118.24,1,v West Indies,Brabourne,29-Oct-18
IND49,V Kohli,160,159,12,2,100.62,1,v South Africa,Cape Town,07-Feb-18
IND35,RG Sharma,159,138,17,5,115.21,1,v West Indies,Visakhapatnam,18-Dec-19
IND49,V Kohli,157,129,13,4,121.7,1,v West Indies,Visakhapatnam,24-Oct-18
IND35,RG Sharma,152,117,15,8,129.91,2,v West Indies,Guwahati,21-Oct-18
IND49,V Kohli,140,107,21,2,130.84,2,v West Indies,Guwahati,21-Oct-18
IND35,RG Sharma,140,113,14,3,123.89,1,v Pakistan,Manchester,16-Jun-19
IND35,RG Sharma,137,114,15,4,120.17,2,v England,Nottingham,12-Jul-18
IND35,RG Sharma,133,129,10,6,103.1,2,v Australia,Sydney,12-Jan-19
IND35,RG Sharma,131,84,16,5,155.95,2,v Afghanistan,Delhi,11-Oct-23
IND42,Shubman Gill,130,97,15,1,134.02,1,v Zimbabwe,Harare,22-Aug-22
IND49,V Kohli,129,96,19,2,134.37,2,v South Africa,Centurion,16-Feb-18
IND44,SS Iyer,128,94,10,5,136.17,1,v Netherlands,Bengaluru,12-Nov-23
IND38,RR Pant,125,113,16,2,110.61,2,v England,Manchester,17-Jul-22
IND49,V Kohli,123,95,16,1,129.47,2,v Australia,Ranchi,08-Mar-19
IND35,RG Sharma,122,144,13,2,84.72,2,v South Africa,Southampton,05-Jun-19
IND49,V Kohli,122,94,9,3,129.78,1,v Pakistan,Colombo (RPS),10-Sep-23
IND42,Shubman Gill,121,133,8,5,90.97,2,v Bangladesh,Colombo (RPS),15-Sep-23
IND49,V Kohli,120,125,14,1,96,1,v West Indies,Port of Spain,11-Aug-19
IND35,RG Sharma,119,128,8,6,92.96,2,v Australia,Bengaluru,19-Jan-20
IND35,RG Sharma,119,90,12,7,132.22,2,v England,Cuttack,09-Feb-25
IND49,V Kohli,117,113,9,2,103.53,1,v New Zealand,Wankhede,15-Nov-23
IND49,V Kohli,116,120,10,0,96.66,1,v Australia,Nagpur,05-Mar-19
