Ground,Country
Adelaide,Australia
Ahmedabad,India
Auckland,New Zealand
Bengaluru,India
Birmingham,England
Brabourne,India
Bridgetown,West Indies (Barbados)
Canberra,Australia
Cape Town,South Africa
Centurion,South Africa
Chattogram,Bangladesh
Chennai,India
Christchurch,New Zealand
Colombo (RPS),Sri Lanka
Cuttack,India
Delhi,India
Dharamsala,India
Dubai (DICS),UAE
Durban,South Africa
Eden Gardens,India
Gqeberha,South Africa
Guwahati,India
Hamilton,New Zealand
Harare,Zimbabwe
Hyderabad,India
Indore,India
Johannesburg,South Africa
Leeds,England
Lord's,England
Lucknow,India
Manchester,England
Melbourne,Australia
Mirpur,Bangladesh
Mohali,India
Mount Maunganui,New Zealand
Nagpur,India
Napier,New Zealand
Nottingham,England
Paarl,South Africa
Pallekele,Sri Lanka
Port of Spain,West Indies (Trinidad)
Pune,India
Raipur,India
Rajkot,India
Ranchi,India
Southampton,England
Sydney,Australia
Tarouba,West Indies
The Oval,England
Thiruvananthapuram,India
Visakhapatnam,India
Wankhede,India
Wellington,New Zealand
