Unique ID,Player,Runs,BF,4s,6s,SR,Opposition,Ground,Start Date
IND40,SA Yadav,117,55,14,6,212.72,v England,Nottingham,10072022
IND53,YBK Jaiswal,100,49,8,7,204.08,v Nepal,Hangzhou,3102023
IND40,SA Yadav,100,56,7,8,178.57,v South Africa,Johannesburg,14122023
IND1,Abhishek Sharma,100,47,7,8,212.76,v Zimbabwe,Harare,7072024
IND53,YBK Jaiswal,93,53,13,2,175.47,v Zimbabwe,Harare,13072024
IND53,YBK Jaiswal,84,51,11,3,164.7,v West Indies,Lauderhill,12082023
IND40,SA Yadav,83,44,10,4,188.63,v West Indies,Providence,8082023
IND40,SA Yadav,76,44,8,4,172.72,v West Indies,Basseterre,2082022
IND38,RR Pant,65,42,4,4,154.76,v West Indies,Providence,6082019
IND40,SA Yadav,61,45,4,3,135.55,v West Indies,Lauderhill,13082023
IND53,YBK Jaiswal,60,41,6,3,146.34,v South Africa,Johannesburg,14122023
IND40,SA Yadav,56,36,5,3,155.55,v South Africa,Gqeberha,12122023
IND40,SA Yadav,53,28,5,3,189.28,v Afghanistan,Bridgetown,20062024
IND40,SA Yadav,50,49,2,2,102.04,v U.S.A.,New York,12062024
IND40,SA Yadav,47,36,4,2,130.55,v England,Providence,27062024
IND38,RR Pant,44,31,6,0,141.93,v West Indies,Lauderhill,6082022
IND38,RR Pant,42,31,6,0,135.48,v Pakistan,New York,9062024
IND40,SA Yadav,39,19,4,2,205.26,v England,Southampton,7072022
IND38,RR Pant,36,26,3,2,138.46,v Ireland,New York,5062024
IND38,RR Pant,36,24,4,2,150,v Bangladesh,North Sound,22062024
IND53,YBK Jaiswal,36,27,4,2,133.33,v Zimbabwe,Harare,10072024
IND39,S Dube,34,24,0,3,141.66,v Bangladesh,North Sound,22062024
IND38,RR Pant,33,26,3,1,126.92,v West Indies,Basseterre,2082022
IND39,S Dube,31,35,1,1,88.57,v U.S.A.,New York,12062024
IND40,SA Yadav,31,16,3,2,193.75,v Australia,Gros Islet,24062024
IND39,S Dube,28,22,2,1,127.27,v Australia,Gros Islet,24062024
IND39,S Dube,27,16,3,1,168.75,v South Africa,Bridgetown,29062024
IND38,RR Pant,26,15,4,1,173.33,v England,Birmingham,9072022
IND39,S Dube,26,12,2,2,216.66,v Zimbabwe,Harare,14072024
IND39,S Dube,25,19,2,1,131.57,v Nepal,Hangzhou,3102023
IND40,SA Yadav,24,16,3,1,150,v West Indies,Tarouba,29072022
IND38,RR Pant,24,12,1,2,200,v West Indies,Basseterre,1082022
IND40,SA Yadav,24,14,1,2,171.42,v West Indies,Lauderhill,6082022
IND53,YBK Jaiswal,24,23,3,1,104.34,v Ireland,Dublin (Malahide),18082023
IND39,S Dube,22,16,0,2,137.5,v Ireland,Dublin (Malahide),20082023
IND30,R Parag,22,24,0,1,91.66,v Zimbabwe,Harare,14072024
IND40,SA Yadav,21,21,2,1,100,v West Indies,Tarouba,3082023
IND38,RR Pant,20,16,1,1,125,v Australia,Brisbane,21112018
IND38,RR Pant,20,11,4,0,181.81,v Afghanistan,Bridgetown,20062024
IND53,YBK Jaiswal,18,11,2,1,163.63,v Ireland,Dublin (Malahide),20082023
IND38,RR Pant,18,20,1,1,90,v U.S.A.,New York,12062024
IND40,SA Yadav,15,5,2,1,300,v Ireland,Dublin (Malahide),28062022
IND40,SA Yadav,15,11,2,0,136.36,v England,Birmingham,9072022
IND38,RR Pant,15,14,1,1,107.14,v Australia,Gros Islet,24062024
IND38,RR Pant,14,12,2,0,116.66,v West Indies,Tarouba,29072022
IND1,Abhishek Sharma,14,11,1,1,127.27,v Zimbabwe,Harare,14072024
IND53,YBK Jaiswal,12,5,0,2,240,v Zimbabwe,Harare,14072024
IND40,SA Yadav,11,6,0,1,183.33,v West Indies,Basseterre,1082022
IND39,S Dube,10,7,0,1,142.85,v Afghanistan,Bridgetown,20062024
IND1,Abhishek Sharma,10,9,1,0,111.11,v Zimbabwe,Harare,10072024
IND40,SA Yadav,7,8,1,0,87.5,v Pakistan,New York,9062024
IND40,SA Yadav,6,2,0,1,300,v Bangladesh,North Sound,22062024
IND53,YBK Jaiswal,5,4,1,0,125,v West Indies,Lauderhill,13082023
IND38,RR Pant,4,5,0,0,80,v West Indies,Lauderhill,4082019
IND38,RR Pant,4,6,0,0,66.66,v England,Providence,27062024
IND1,Abhishek Sharma,4,5,1,0,80,v South Africa,Gqeberha,10112024
IND40,SA Yadav,4,9,0,0,44.44,v South Africa,Gqeberha,10112024
IND39,S Dube,3,9,0,0,33.33,v Pakistan,New York,9062024
IND40,SA Yadav,3,4,0,0,75,v South Africa,Bridgetown,29062024
IND40,SA Yadav,2,4,0,0,50,v Ireland,New York,5062024
IND30,R Parag,2,3,0,0,66.66,v Zimbabwe,Harare,6072024
IND38,RR Pant,1,5,0,0,20,v England,Nottingham,10072022
IND40,SA Yadav,1,3,0,0,33.33,v West Indies,Providence,6082023
IND53,YBK Jaiswal,1,2,0,0,50,v West Indies,Providence,8082023
IND39,S Dube,0,2,0,0,0,v Ireland,New York,5062024
IND38,RR Pant,0,1,0,0,0,v West Indies,Lauderhill,3082019
IND40,SA Yadav,0,1,0,0,0,v Ireland,Dublin (Malahide),26062022
IND53,YBK Jaiswal,0,4,0,0,0,v Bangladesh,Hangzhou,6102023
IND53,YBK Jaiswal,0,3,0,0,0,v South Africa,Gqeberha,12122023
IND39,S Dube,0,1,0,0,0,v England,Providence,27062024
IND38,RR Pant,0,2,0,0,0,v South Africa,Bridgetown,29062024
